date,close,volume,open,high,low
11/20/2024,$46.06,"28,021,050",$46.57,$46.64,$45.92
11/19/2024,$46.41,"28,534,100",$45.99,$46.615,$45.95
11/18/2024,$46.72,"32,371,770",$46.75,$47.02,$46.485
11/15/2024,$46.75,"40,488,860",$45.62,$46.84,$45.62
11/14/2024,$45.90,"35,733,070",$45.95,$46.16,$45.73
11/13/2024,$45.87,"36,903,860",$46.20,$46.48,$45.83
11/12/2024,$45.86,"38,155,890",$46.14,$46.45,$45.84
11/11/2024,$46.08,"43,293,530",$45.60,$46.5175,$45.58
11/08/2024,$45.13,"38,331,810",$45.14,$45.50,$44.945
11/07/2024,$44.77,"48,339,730",$45.04,$45.23,$44.505
11/06/2024,$45.41,"110,086,700",$44.80,$45.55,$44.00
11/05/2024,$41.88,"30,851,410",$41.51,$42.01,$41.375
11/04/2024,$41.33,"31,110,090",$41.61,$42.02,$41.11
11/01/2024,$41.76,"31,220,000",$42.15,$42.43,$41.75
10/31/2024,$41.82,"28,138,240",$42.29,$42.55,$41.80
10/30/2024,$42.31,"38,100,540",$41.71,$42.90,$41.64
10/29/2024,$42.53,"22,313,520",$42.59,$42.81,$42.47
10/28/2024,$42.62,"24,527,600",$42.07,$42.745,$42.005
10/25/2024,$41.89,"27,466,910",$42.92,$42.98,$41.785
10/24/2024,$42.65,"28,392,010",$42.32,$42.66,$41.97
10/23/2024,$42.34,"28,569,350",$42.20,$42.47,$42.0199
10/22/2024,$42.30,"37,104,410",$41.65,$42.405,$41.57
10/21/2024,$41.76,"26,589,500",$42.25,$42.41,$41.74
10/18/2024,$42.32,"30,593,530",$42.43,$42.645,$42.11
10/17/2024,$42.60,"31,708,560",$42.83,$43.00,$42.465
10/16/2024,$42.80,"42,437,820",$42.21,$43.10,$42.145
10/15/2024,$42.14,"61,489,990",$43.225,$43.3615,$42.05
10/14/2024,$41.91,"28,098,950",$41.96,$42.1799,$41.72
10/11/2024,$41.95,"50,660,740",$40.50,$42.17,$40.40
10/10/2024,$39.97,"26,182,260",$40.01,$40.13,$39.77
10/09/2024,$40.19,"27,421,000",$39.87,$40.385,$39.72
10/08/2024,$39.93,"26,023,650",$40.05,$40.145,$39.805
10/07/2024,$39.96,"27,177,530",$40.21,$40.435,$39.71
10/04/2024,$40.11,"34,255,930",$39.93,$40.25,$39.615
10/03/2024,$39.25,"26,030,230",$38.98,$39.27,$38.725
10/02/2024,$39.23,"23,302,750",$39.25,$39.54,$39.045
10/01/2024,$39.22,"26,291,190",$39.51,$39.56,$38.94
09/30/2024,$39.68,"35,058,350",$39.23,$39.79,$39.02
09/27/2024,$39.40,"27,861,080",$39.65,$39.90,$39.352
09/26/2024,$39.52,"39,601,420",$39.39,$39.715,$39.11
09/25/2024,$39.25,"28,866,010",$39.25,$39.41,$38.94
09/24/2024,$39.45,"32,534,880",$39.85,$39.98,$39.25
09/23/2024,$39.87,"31,714,850",$40.21,$40.44,$39.75
09/20/2024,$40.27,"70,725,040",$40.62,$40.73,$40.24
09/19/2024,$40.87,"57,977,750",$40.04,$41.045,$40.01
09/18/2024,$39.62,"42,527,830",$39.62,$40.12,$39.415
09/17/2024,$39.55,"27,769,380",$39.28,$39.80,$39.21
09/16/2024,$39.10,"26,336,360",$38.81,$39.21,$38.79
09/13/2024,$38.65,"31,887,310",$38.88,$39.09,$38.44
09/12/2024,$38.78,"39,948,810",$39.05,$39.33,$38.535
09/11/2024,$39.00,"41,190,040",$38.99,$39.03,$38.01
09/10/2024,$39.28,"53,983,880",$39.84,$39.84,$38.325
09/09/2024,$39.47,"37,610,210",$39.25,$39.705,$39.1001
09/06/2024,$38.76,"47,007,590",$39.77,$39.875,$38.56
09/05/2024,$40.14,"34,214,540",$40.80,$40.94,$40.01
09/04/2024,$40.50,"39,629,640",$40.66,$40.95,$40.28
09/03/2024,$40.70,"48,489,320",$40.58,$40.90,$40.23
08/30/2024,$40.75,"49,098,180",$40.17,$40.86,$40.13
08/29/2024,$40.17,"34,810,840",$40.05,$40.34,$39.53
08/28/2024,$39.95,"40,700,530",$39.34,$40.27,$39.33
08/27/2024,$39.67,"32,323,910",$40.00,$40.125,$39.61
08/26/2024,$39.92,"44,659,530",$40.00,$40.20,$39.66
08/23/2024,$39.77,"45,616,650",$39.27,$40.17,$39.27
08/22/2024,$39.24,"35,421,640",$38.78,$39.29,$38.565
08/21/2024,$38.75,"33,751,070",$38.87,$38.995,$38.385
08/20/2024,$38.69,"44,440,760",$39.12,$39.24,$38.34
08/19/2024,$39.67,"27,268,920",$39.48,$39.745,$39.45
08/16/2024,$39.34,"26,886,620",$39.00,$39.42,$38.99
08/15/2024,$39.03,"37,379,820",$39.43,$39.68,$38.965
08/14/2024,$38.81,"25,658,860",$38.52,$38.915,$38.43
08/13/2024,$38.46,"21,553,470",$38.37,$38.48,$38.12
08/12/2024,$38.17,"33,040,640",$38.50,$38.7299,$38.01
08/09/2024,$38.28,"26,411,230",$38.16,$38.45,$37.905
08/08/2024,$38.21,"36,557,830",$37.82,$38.415,$37.66
08/07/2024,$37.30,"44,952,350",$38.10,$38.585,$37.27
08/06/2024,$36.92,"40,614,120",$36.65,$37.31,$36.54
08/05/2024,$36.65,"76,075,190",$35.65,$36.955,$35.14
08/02/2024,$37.58,"76,727,990",$38.00,$38.53,$37.18
08/01/2024,$39.50,"60,107,850",$40.44,$40.45,$38.98
07/31/2024,$40.31,"50,851,580",$41.23,$41.38,$40.22
07/30/2024,$41.28,"44,163,170",$41.05,$41.89,$40.81
07/29/2024,$41.09,"37,133,080",$41.78,$41.878,$40.981
07/26/2024,$41.67,"52,049,330",$41.58,$41.96,$41.41
07/25/2024,$41.68,"41,593,860",$42.02,$42.295,$41.66
07/24/2024,$42.19,"36,567,180",$42.28,$42.75,$42.07
07/23/2024,$42.41,"36,705,130",$42.22,$42.78,$42.15
07/22/2024,$42.30,"42,838,320",$42.64,$42.87,$41.955
07/19/2024,$42.90,"43,902,970",$42.86,$43.56,$42.69
07/18/2024,$43.01,"48,549,220",$43.62,$44.24,$42.93
07/17/2024,$43.98,"65,713,650",$43.65,$44.44,$43.65
07/16/2024,$44.13,"75,953,350",$42.52,$44.40,$42.22
07/15/2024,$41.89,"36,648,100",$41.85,$42.23,$41.70
07/12/2024,$41.59,"31,856,590",$41.49,$41.915,$41.09
07/11/2024,$41.81,"33,824,580",$41.77,$41.90,$41.39
07/10/2024,$41.74,"25,333,390",$41.28,$41.76,$41.07
07/09/2024,$41.42,"34,721,690",$40.76,$41.83,$40.60
07/08/2024,$40.62,"26,728,500",$40.60,$41.04,$40.43
07/05/2024,$40.41,"23,488,970",$40.93,$40.955,$40.29
07/03/2024,$40.90,"17,100,670",$41.02,$41.20,$40.75
07/02/2024,$40.93,"35,626,090",$40.00,$40.96,$39.96
07/01/2024,$40.01,"26,770,470",$39.91,$40.34,$39.675
06/28/2024,$39.77,"52,028,200",$39.74,$40.055,$39.315
06/27/2024,$39.25,"29,464,190",$38.70,$39.35,$38.335
06/26/2024,$39.00,"44,310,220",$39.17,$39.35,$38.47
06/25/2024,$39.38,"30,928,600",$39.78,$40.07,$39.355
06/24/2024,$40.02,"31,064,890",$39.77,$40.34,$39.65
06/21/2024,$39.49,"72,251,510",$39.855,$39.905,$39.37
06/20/2024,$39.99,"29,383,290",$39.78,$40.31,$39.75
06/18/2024,$39.99,"30,804,470",$39.56,$40.02,$39.46
06/17/2024,$39.51,"26,135,370",$39.09,$39.53,$38.98
06/14/2024,$39.24,"32,347,870",$39.10,$39.48,$38.905
06/13/2024,$39.26,"40,018,720",$39.29,$39.35,$38.93
06/12/2024,$39.41,"38,964,690",$39.80,$39.88,$39.105
06/11/2024,$38.86,"44,629,050",$39.33,$39.35,$38.46
06/10/2024,$39.67,"37,182,710",$39.58,$39.84,$39.21
06/07/2024,$39.78,"25,928,690",$39.28,$39.96,$39.28
06/06/2024,$39.70,"38,676,400",$39.91,$40.00,$39.42
06/05/2024,$39.96,"34,140,350",$39.82,$39.99,$39.52
06/04/2024,$39.68,"26,974,160",$39.62,$40.135,$39.42
06/03/2024,$39.88,"31,898,570",$40.04,$40.19,$39.36
05/31/2024,$39.99,"58,188,350",$38.70,$40.08,$38.66
05/30/2024,$38.63,"51,008,630",$38.73,$39.12,$37.59
05/29/2024,$38.72,"26,677,530",$38.84,$38.90,$38.5599
05/28/2024,$39.32,"31,217,890",$39.65,$39.74,$39.11
05/24/2024,$39.70,"22,166,310",$39.16,$39.78,$39.07
05/23/2024,$39.17,"39,033,930",$39.77,$39.84,$38.94
05/22/2024,$39.76,"42,837,580",$39.41,$39.81,$39.335
05/21/2024,$39.65,"31,799,160",$38.77,$39.75,$38.77
05/20/2024,$38.82,"28,369,830",$39.26,$39.47,$38.79
05/17/2024,$39.29,"25,537,350",$39.45,$39.49,$39.16
05/16/2024,$39.22,"32,554,170",$38.92,$39.36,$38.7082
05/15/2024,$38.91,"34,084,390",$38.80,$39.24,$38.775
