date,close,volume,open,high,low
11/20/2024,$581.93,"1,528,869",$583.83,$587.80,$576.62
11/19/2024,$581.38,"2,217,724",$579.66,$584.7637,$575.51
11/18/2024,$587.99,"1,857,601",$594.71,$595.07,$584.715
11/15/2024,$593.54,"2,007,812",$593.36,$595.14,$587.09
11/14/2024,$588.61,"1,670,468",$600.00,$601.53,$586.24
11/13/2024,$594.22,"1,763,195",$594.63,$603.5499,$592.65
11/12/2024,$592.59,"2,392,850",$598.05,$602.09,$591.47
11/11/2024,$602.34,"2,510,802",$598.90,$607.15,$596.165
11/08/2024,$589.26,"2,713,956",$586.42,$595.15,$581.30
11/07/2024,$582.17,"4,475,600",$590.00,$595.00,$581.5232
11/06/2024,$595.98,"8,042,841",$567.30,$598.605,$566.10
11/05/2024,$526.96,"2,169,936",$513.00,$527.46,$512.60
11/04/2024,$511.47,"1,798,045",$518.00,$518.05,$510.51
11/01/2024,$519.35,"1,625,284",$520.00,$526.64,$517.04
10/31/2024,$517.79,"2,061,658",$522.44,$525.00,$514.5301
10/30/2024,$524.40,"1,441,947",$523.40,$530.785,$523.07
10/29/2024,$524.28,"1,281,786",$521.18,$527.24,$521.00
10/28/2024,$523.58,"1,687,386",$515.40,$524.59,$514.975
10/25/2024,$512.60,"1,633,203",$528.05,$528.80,$510.74
10/24/2024,$524.50,"2,058,176",$519.00,$525.00,$518.2001
10/23/2024,$517.20,"1,263,151",$515.80,$520.00,$513.40
10/22/2024,$518.30,"1,587,978",$515.61,$519.63,$512.94
10/21/2024,$517.80,"1,752,085",$528.00,$529.85,$517.00
10/18/2024,$528.50,"1,779,315",$529.39,$530.765,$526.87
10/17/2024,$529.00,"2,123,514",$531.24,$535.29,$528.23
10/16/2024,$529.86,"2,649,018",$530.00,$536.22,$525.975
10/15/2024,$522.38,"4,525,395",$538.80,$540.51,$515.51
10/14/2024,$522.75,"2,174,891",$517.65,$523.07,$515.51
10/11/2024,$516.30,"2,409,660",$508.00,$517.97,$507.80
10/10/2024,$503.72,"1,309,042",$506.31,$506.80,$499.59
10/09/2024,$505.18,"1,695,949",$498.20,$506.27,$495.25
10/08/2024,$496.57,"1,296,762",$497.00,$498.34,$492.78
10/07/2024,$494.62,"1,173,326",$494.63,$499.01,$490.79
10/04/2024,$495.16,"1,721,821",$495.64,$496.31,$486.00
10/03/2024,$486.10,"1,290,719",$489.93,$490.505,$484.20
10/02/2024,$491.99,"1,445,116",$491.17,$494.8593,$487.95
10/01/2024,$490.17,"1,528,568",$494.575,$494.575,$484.61
09/30/2024,$495.11,"1,603,079",$494.89,$496.515,$488.90
09/27/2024,$498.51,"1,420,298",$498.97,$505.40,$495.86
09/26/2024,$496.92,"1,378,145",$494.00,$498.40,$492.48
09/25/2024,$491.14,"1,763,943",$498.50,$502.00,$490.395
09/24/2024,$498.02,"1,035,466",$497.59,$499.56,$494.10
09/23/2024,$497.41,"953,191",$498.21,$501.40,$495.2201
09/20/2024,$498.43,"4,452,617",$500.19,$502.05,$495.475
09/19/2024,$503.83,"3,060,671",$494.74,$506.41,$493.46
09/18/2024,$484.58,"1,699,498",$485.40,$492.99,$481.7737
09/17/2024,$485.39,"1,444,884",$488.00,$489.73,$481.80
09/16/2024,$485.16,"1,500,456",$481.43,$487.38,$479.49
09/13/2024,$478.99,"1,794,645",$475.99,$482.10,$475.50
09/12/2024,$474.06,"1,482,197",$471.30,$474.34,$465.40
09/11/2024,$471.17,"2,426,457",$463.98,$471.89,$457.48
09/10/2024,$467.13,"3,583,073",$489.13,$489.20,$461.57
09/09/2024,$488.57,"1,714,183",$485.53,$494.28,$483.3895
09/06/2024,$479.61,"1,995,561",$486.60,$495.41,$477.06
09/05/2024,$487.88,"1,828,331",$493.58,$495.768,$483.07
