date,close,volume,open,high,low
11/20/2024,$240.78,"9,015,290",$244.40,$244.61,$238.64
11/19/2024,$243.09,"6,792,660",$242.25,$245.1509,$241.55
11/18/2024,$245.03,"9,052,575",$247.76,$247.93,$242.68
11/15/2024,$245.31,"11,518,840",$241.46,$246.42,$241.46
11/14/2024,$241.87,"10,172,200",$242.415,$244.29,$241.05
11/13/2024,$241.16,"11,472,560",$240.58,$244.09,$240.31
11/12/2024,$239.56,"6,860,956",$240.55,$241.46,$238.76
11/11/2024,$239.29,"9,017,079",$240.00,$242.10,$239.00
11/08/2024,$236.98,"9,502,100",$239.34,$239.34,$235.78
11/07/2024,$236.38,"16,451,070",$244.50,$244.57,$235.22
11/06/2024,$247.06,"23,987,750",$235.00,$248.00,$234.77
11/05/2024,$221.49,"5,600,686",$220.03,$221.96,$220.00
11/04/2024,$219.78,"8,229,588",$222.65,$223.76,$219.17
11/01/2024,$222.94,"6,923,452",$223.56,$226.15,$222.70
10/31/2024,$221.92,"7,829,932",$224.70,$225.69,$221.82
10/30/2024,$224.41,"7,110,941",$222.54,$226.31,$221.58
10/29/2024,$222.90,"6,580,004",$225.21,$226.75,$222.81
10/28/2024,$225.50,"6,842,956",$223.35,$225.64,$222.95
10/25/2024,$222.31,"6,369,720",$225.00,$225.62,$220.875
10/24/2024,$224.98,"6,002,202",$221.83,$225.06,$221.66
10/23/2024,$223.41,"6,180,528",$223.66,$224.7999,$222.53
10/22/2024,$224.12,"9,586,793",$223.02,$225.28,$221.10
10/21/2024,$223.00,"5,869,959",$225.22,$225.70,$222.90
10/18/2024,$225.37,"7,000,543",$225.00,$225.92,$223.10
10/17/2024,$224.42,"6,470,186",$224.27,$225.85,$223.31
10/16/2024,$223.64,"6,382,515",$222.33,$223.68,$221.04
10/15/2024,$222.39,"9,235,825",$223.66,$225.45,$221.82
10/14/2024,$221.48,"9,048,925",$223.20,$223.70,$218.88
10/11/2024,$222.29,"18,320,650",$215.67,$224.6299,$215.16
10/10/2024,$212.84,"7,927,051",$214.81,$214.81,$211.47
10/09/2024,$213.42,"7,023,998",$209.70,$214.24,$209.38
10/08/2024,$210.75,"6,021,772",$210.58,$211.33,$208.38
10/07/2024,$210.93,"6,718,898",$211.03,$213.33,$209.69
10/04/2024,$211.22,"10,213,420",$209.30,$211.67,$206.91
10/03/2024,$205.23,"7,251,325",$206.17,$206.49,$204.34
10/02/2024,$207.29,"5,810,931",$207.08,$208.95,$205.69
10/01/2024,$207.04,"8,540,064",$208.90,$209.09,$206.19
09/30/2024,$210.86,"8,668,314",$206.31,$210.96,$205.26
09/27/2024,$210.50,"7,032,450",$210.65,$212.44,$209.33
