date,close,volume,open,high,low
11/20/2024,$131.69,"5,125,625",$133.16,$133.65,$131.05
11/19/2024,$132.24,"7,244,809",$133.26,$134.09,$131.9301
11/18/2024,$133.78,"6,434,278",$134.69,$135.505,$133.42
11/15/2024,$134.06,"7,281,941",$133.37,$134.40,$132.54
11/14/2024,$132.43,"7,344,210",$133.10,$134.91,$131.98
11/13/2024,$132.76,"6,134,840",$133.46,$134.65,$132.465
11/12/2024,$132.31,"5,683,256",$133.19,$133.82,$131.705
11/11/2024,$133.52,"6,861,327",$130.55,$133.99,$130.55
11/08/2024,$129.53,"6,979,341",$128.98,$130.52,$127.76
11/07/2024,$128.44,"7,780,327",$130.74,$131.55,$128.08
11/06/2024,$131.49,"22,798,670",$129.51,$133.52,$127.66
11/05/2024,$117.81,"4,798,372",$116.09,$117.90,$116.09
11/04/2024,$116.14,"4,366,558",$117.005,$117.45,$115.94
11/01/2024,$116.85,"4,372,177",$116.67,$118.024,$116.30
10/31/2024,$116.25,"5,374,550",$117.13,$117.91,$115.70
10/30/2024,$117.92,"5,672,997",$118.61,$119.32,$117.79
10/29/2024,$119.30,"4,622,285",$118.89,$120.09,$118.82
10/28/2024,$119.13,"5,994,033",$118.12,$119.68,$117.51
10/25/2024,$116.88,"7,271,677",$120.00,$120.00,$116.33
10/24/2024,$119.17,"5,611,946",$118.40,$119.34,$117.94
10/23/2024,$118.28,"5,661,570",$117.89,$118.74,$117.20
10/22/2024,$118.32,"4,429,614",$117.65,$118.61,$117.25
10/21/2024,$118.28,"7,469,088",$120.37,$120.69,$117.88
10/18/2024,$121.06,"6,852,874",$119.53,$121.12,$119.11
10/17/2024,$119.44,"9,357,154",$119.77,$120.355,$118.73
10/16/2024,$119.51,"21,458,550",$116.88,$121.45,$116.50
10/15/2024,$112.22,"8,925,197",$115.425,$116.06,$112.03
10/14/2024,$112.28,"7,179,255",$111.05,$112.44,$110.55
10/11/2024,$110.46,"5,826,183",$109.00,$111.475,$109.00
10/10/2024,$108.08,"4,065,520",$108.44,$109.03,$107.65
10/09/2024,$109.04,"4,445,976",$107.22,$109.365,$107.22
10/08/2024,$107.49,"3,679,612",$107.65,$108.21,$107.39
10/07/2024,$107.64,"4,439,928",$107.69,$108.92,$107.27
10/04/2024,$107.88,"5,609,161",$107.612,$108.08,$106.62
10/03/2024,$104.57,"4,587,217",$103.58,$104.70,$103.16
10/02/2024,$104.52,"3,293,681",$104.83,$105.395,$103.91
10/01/2024,$104.42,"5,437,427",$104.18,$105.19,$103.06
09/30/2024,$104.24,"3,378,660",$103.74,$104.40,$103.12
09/27/2024,$104.11,"3,113,293",$104.93,$105.14,$104.015
09/26/2024,$104.60,"5,183,019",$103.07,$104.79,$102.97
09/25/2024,$102.34,"3,825,147",$102.75,$102.805,$101.7201
09/24/2024,$102.58,"4,749,752",$102.77,$102.88,$101.95
09/23/2024,$102.47,"3,962,451",$101.69,$102.53,$101.3071
