date,close,volume,open,high,low,Sector,Source,daily_return,volatility,RSI,rolling_returns_mean,rolling_returns_sd,rolling_sharpe,cumulative_return,rolling_max,rolling_drawdown,Date
2020-06-11,44.57,17961920,46.13,47.2,44.44,Banking,MS Historical Data,-8.461696446909006,4.314616492225854,51.52448543028306,0.16669499992667575,3.59490410947416,0.7360978226511179,-5151014396162741e22,6097982735907908e38,-1.0000000000000002,2020-06-11
2020-06-12,46.28,14093080,46.76,46.945,45.12,Banking,MS Historical Data,3.8366614314561343,4.353209952096115,55.62934976748666,0.1688841650224365,3.5946993626825594,0.7458072944815858,-2491371266279564e23,6097982735907908e38,-1.0000000000000004,2020-06-12
2020-06-15,47.4,14761440,44.66,47.85,44.6,Banking,MS Historical Data,2.420051858254091,4.321993370232377,58.13017923573813,0.1520364097936445,3.593643734692948,0.6716033534283405,-8520618928840269e23,6097982735907908e38,-1.0000000000000013,2020-06-15
2020-06-16,48.56,13554810,49.44,49.6,46.91,Banking,MS Historical Data,2.4472573839662504,4.035945148395607,60.606664186609194,0.14653476725892695,3.5963021958044252,0.6468219823864896,-2.9372766518407225e+39,6097982735907908e38,-1.0000000000000049,2020-06-16
2020-06-17,47.76,8674443,48.7,48.78,47.655,Banking,MS Historical Data,-1.6474464579901205,4.007682664371833,58.056308856365554,0.1560179823970156,3.601590601686547,0.6876707995904776,19017293643713557e23,21634151217580232e38,-0.999999999999999,2020-06-17
2020-06-18,47.58,9825246,47.12,48.375,46.97,Banking,MS Historical Data,-0.37688442211055717,3.939484229369254,57.470317633535664,0.15634715888196488,3.601612641234275,0.689117473418389,11849971918695802e23,3110649264200952e39,-0.9999999999999996,2020-06-18
2020-06-19,46.93,20962700,48.46,48.68,46.71,Banking,MS Historical Data,-1.3661202185792365,3.9236867485557294,55.29966790299058,0.16093664663715102,3.6015462682359547,0.7093592231657844,-4338514309030721e23,5241562663311022e39,-1.0000000000000002,2020-06-19
2020-06-22,47.38,11657350,46.8,47.61,46.55,Banking,MS Historical Data,0.9588749200937663,3.9124920991364696,56.523946086157274,0.15636330659577746,3.6019798334230995,0.6891183891527,-8498606870428216e23,5241562663311022e39,-1.0000000000000002,2020-06-22
2020-06-23,47.89,9672599,48.27,48.48,47.61,Banking,MS Historical Data,1.07640354579992,3.4366533459512962,57.93025768357276,0.180257674975959,3.61864568174415,0.7907659746348462,-17646537440116707e23,8493108658796135e39,-1.0000000000000002,2020-06-23
2020-06-24,46.95,12806220,47.59,47.65,46.415,Banking,MS Historical Data,-1.9628314888285647,3.0855337353299674,54.435205478624866,0.17306097165939405,3.6206902526716664,0.7587663026254599,1699064191613658e24,8493108658796135e39,-0.9999999999999999,2020-06-24
2020-06-25,48.79,15014350,46.71,48.86,46.54,Banking,MS Historical Data,3.919062832800835,2.9331175830297855,59.576335004794124,0.18264466468294557,3.623268526703338,0.8002150944360653,8357803515509541e24,8493108658796135e39,-0.999999999999999,2020-06-25
2020-06-26,47.05,20082530,48.3,48.37,46.605,Banking,MS Historical Data,-3.566304570608736,3.066766977082766,53.43616341957631,0.1786585810501719,3.6231076306446326,0.7827857572572254,-21448669362101896e24,8493108658796135e39,-1.0000000000000027,2020-06-26
2020-06-29,47.24,9380766,47.57,47.8,46.645,Banking,MS Historical Data,0.4038257173220039,3.061430515996306,53.99375035871342,0.1785807457637254,3.6231125387547474,0.782443664967126,-30110193652855183e24,8493108658796135e39,-1.0000000000000036,2020-06-29
2020-06-30,48.3,11894390,47.06,48.53,47.06,Banking,MS Historical Data,2.243861134631664,3.069826512416288,57.08152148111837,0.17760781045871502,3.623262203738796,0.7781486477432962,-9767328694672994e25,8493108658796135e39,-1.0000000000000115,2020-06-30
2020-07-01,47.61,11363840,48.41,49.08,47.245,Banking,MS Historical Data,-1.4285714285714235,3.0310274271363173,54.51653870718323,0.17712377685323616,3.6232520616659434,0.7760301356699283,4185998012002662e25,8493108658796135e39,-0.999999999999995,2020-07-01
2020-07-02,47.79,7488814,48.86,49.03,47.68,Banking,MS Historical Data,0.3780718336483968,2.9066831591612483,55.08356382894621,0.17401826909787566,3.622191038508882,0.7626473458524621,5768605956049052e25,8493108658796135e39,-0.9999999999999932,2020-07-02
2020-07-06,48.82,10649570,48.87,49.37,48.7,Banking,MS Historical Data,2.155262607240016,2.9220737852671848,58.28805197276655,0.17926549123468635,3.620547720822198,0.7860002602397982,1820146666902362e26,8493108658796135e39,-0.9999999999999786,2020-07-06
2020-07-07,47.49,8750686,48.52,48.55,47.39,Banking,MS Historical Data,-2.724293322408844,2.9651698755281695,53.02725408866826,0.18739726221683647,3.6216518243298066,0.8214040049946434,-31384667435444566e25,8493108658796135e39,-1.000000000000037,2020-07-07
2020-07-08,48.91,12322190,47.63,48.99,47.275,Banking,MS Historical Data,2.990103179616743,3.0485342376075386,57.443556354183556,0.21210220714217654,3.6402124957706947,0.9249509910942127,-12522806132538142e26,8493108658796135e39,-1.0000000000001474,2020-07-08
2020-07-09,47.51,9119909,48.795,49.05,47.02,Banking,MS Historical Data,-2.8624003271314646,3.020602177318613,52.22974709405712,0.21382278469736463,3.640820020895273,0.9322986190502609,23322478237842948e26,8493108658796135e39,-0.9999999999997254,2020-07-09
2020-07-10,49.8,13386040,47.59,49.88,47.5205,Banking,MS Historical Data,4.820037886760686,2.49473492659524,58.81464130741345,0.21169381422210573,3.640544578251982,0.9230858315016078,13573770695739756e27,8493108658796135e39,-0.9999999999984018,2020-07-10
2020-07-13,50.22,14903990,51.03,51.03,49.88,Banking,MS Historical Data,0.8433734939758963,2.3764213221101174,59.90624864441272,0.2148219208820432,3.6409491564235643,0.936621778114651,2502152911383343e28,8493108658796135e39,-0.9999999999970539,2020-07-13
2020-07-14,50.5,16075620,50.27,50.58,48.91,Banking,MS Historical Data,0.5575467941059342,2.3306346750482776,60.65494746191202,0.20913311028850684,3.640693488732445,0.9118826439720026,38972202454879555e27,8493108658796135e39,-0.9999999999954113,2020-07-14
2020-07-15,51.35,17424160,52.49,52.49,50.4596,Banking,MS Historical Data,1.6831683168316847,2.300390958635647,62.918709988458886,0.20727519260335395,3.6408424416319543,0.9037445943456058,10456897886408281e28,8493108658796135e39,-0.9999999999876878,2020-07-15
2020-07-16,52.64,25026770,51.58,53.5081,51.34,Banking,MS Historical Data,2.5121713729308714,2.3026391941467677,66.10598288262456,0.21145375510527006,3.641382211266696,0.9218269613142644,367264174063045e30,8493108658796135e39,-0.9999999999567574,2020-07-16
2020-07-17,52.41,16274880,52.78,53.01,51.98,Banking,MS Historical Data,-0.4369300911854168,2.3038989452742515,65.03268831473227,0.17883577121918295,3.6205820983407775,0.7841086819468653,206795405000542e30,12931415875506212e41,-0.9999999999998401,2020-07-17
2020-07-20,51.86,10423560,51.76,52.07,51.35,Banking,MS Historical Data,-1.0494180499904582,2.291381786651895,62.42269026329585,0.1699941496417886,3.619092684591128,0.7456491725724648,-10219425662113829e27,12931415875506212e41,-1.000000000000008,2020-07-20
2020-07-21,52.38,11956470,52.1,52.45,51.52,Banking,MS Historical Data,1.0026995757809631,2.2918388903851254,63.89794082002493,0.18017156986929167,3.6144100518046516,0.7913144779357331,-20466439438240454e27,12931415875506212e41,-1.0000000000000158,2020-07-21
2020-07-22,51,13604000,52,52.35,50.99,Banking,MS Historical Data,-2.6345933562428425,2.3930683303078886,57.45174154633231,0.17985502382601076,3.6144388211647853,0.7899179186038187,3345430593169434e28,12931415875506212e41,-0.9999999999999741,2020-07-22
2020-07-23,50.56,13526980,50.99,51.245,50.31,Banking,MS Historical Data,-0.8627450980392082,2.3495461490920917,55.52825495573573,0.17917133498475066,3.614601459067095,0.7868797705240418,45917674808210425e26,12931415875506212e41,-0.9999999999999964,2020-07-23
2020-07-24,50.18,6860824,50.56,50.8,50.07,Banking,MS Historical Data,-0.7515822784810222,2.208981406793637,53.8513885116185,0.17680662925167961,3.616072921709129,0.7761785471844591,11406764153305e29,12931415875506212e41,-0.9999999999999991,2020-07-24
2020-07-27,51.32,12087060,49.91,51.57,49.73,Banking,MS Historical Data,2.2718214428059103,2.0716107739340175,57.95360996399385,0.1808673886984517,3.6134710043799405,0.7945769541768414,373208955498131e28,12931415875506212e41,-0.9999999999999972,2020-07-27
2020-07-28,50.26,7287935,50.83,51.22,50.21,Banking,MS Historical Data,-2.0654715510522226,2.1470660112704203,53.216710313194334,0.15852050769237325,3.6213600460580317,0.6948867315984082,-39764352468117354e26,12931415875506212e41,-1.000000000000003,2020-07-28
2020-07-29,50.59,8074269,50.27,50.66,49.88,Banking,MS Historical Data,0.6565857540788089,2.1015340598474053,54.46454241470772,0.16623797345503127,3.621746488070336,0.7286390767538913,-6587305981885174e27,12931415875506212e41,-1.000000000000005,2020-07-29
2020-07-30,48.95,9410093,49.36,49.36,48.55,Banking,MS Historical Data,-3.2417473809053132,2.213983346788746,47.660889751030716,0.1522083187946122,3.6282206435310926,0.6659551310206826,1476707593211299e28,17152924802565438e41,-0.9999999999999915,2020-07-30
2020-07-31,48.88,9664610,49.02,49.03,48.27,Banking,MS Historical Data,-0.14300306435137689,2.214373778140902,47.38878088872626,0.16737988148100807,3.623403248629562,0.7333087329571258,1265533882231137e28,3301394400851721e42,-0.9999999999999962,2020-07-31
2020-08-03,49.46,9913058,49.22,49.905,48.72,Banking,MS Historical Data,1.1865793780687417,2.1781813793466216,49.93909611968981,0.18403249529632323,3.6352566284657626,0.8036366047382413,2767190289133879e28,19303424303014658e42,-0.9999999999999986,2020-08-03
2020-08-04,49.26,6351292,49.5,49.77,49.08,Banking,MS Historical Data,-0.4043671653861769,2.080121651939285,49.05602728203886,0.17136215832675547,3.632016732016432,0.7489750546520666,16482293958326573e27,19303424303014658e42,-0.9999999999999991,2020-08-04
2020-08-05,49.77,6701327,49.59,49.96,49.44,Banking,MS Historical Data,1.0353227771010998,1.9861002078623888,51.4153006496205,0.17373571569856655,3.633277661296554,0.7590856638645033,3354678831225792e28,3319425794507348e43,-0.999999999999999,2020-08-05
