date,close,volume,open,high,low
11/20/2024,$153.11,"9,061,274",$153.03,$153.25,$151.81
11/19/2024,$153.00,"8,233,678",$153.945,$153.99,$152.05
11/18/2024,$154.77,"7,514,177",$152.59,$155.33,$152.33
11/15/2024,$154.00,"11,328,520",$150.90,$154.43,$150.90
11/14/2024,$151.87,"7,716,385",$153.18,$153.5918,$150.76
11/13/2024,$153.24,"7,162,233",$152.50,$153.51,$151.4245
11/12/2024,$152.64,"7,181,408",$154.53,$155.04,$152.37
11/11/2024,$155.04,"7,146,759",$155.62,$157.58,$154.91
11/08/2024,$155.47,"8,926,134",$157.00,$157.08,$155.41
11/07/2024,$156.73,"7,522,812",$158.47,$158.75,$156.51
11/06/2024,$157.88,"8,926,601",$159.90,$160.85,$157.355
11/05/2024,$158.35,"6,547,074",$157.67,$158.59,$156.35
11/04/2024,$158.24,"4,644,011",$159.70,$160.28,$158.07
11/01/2024,$160.13,"5,256,652",$160.58,$161.06,$159.88
10/31/2024,$159.86,"8,613,860",$159.99,$160.87,$159.46
10/30/2024,$160.61,"5,820,530",$159.45,$161.28,$159.0302
10/29/2024,$160.09,"5,216,879",$161.46,$162.17,$160.06
10/28/2024,$161.60,"4,842,653",$161.13,$161.97,$161.00
10/25/2024,$160.88,"6,400,449",$163.68,$163.92,$160.61
10/24/2024,$163.67,"5,386,525",$165.00,$165.51,$163.34
10/23/2024,$165.86,"7,442,026",$162.82,$166.00,$162.42
10/22/2024,$163.45,"5,680,612",$162.32,$163.73,$161.90
10/21/2024,$162.83,"6,082,736",$165.10,$165.25,$162.31
10/18/2024,$165.12,"5,908,012",$164.89,$165.2896,$163.93
10/17/2024,$164.47,"4,798,238",$164.26,$165.00,$163.63
10/16/2024,$164.28,"5,982,291",$164.00,$164.99,$162.64
10/15/2024,$164.10,"10,547,970",$160.00,$166.75,$159.00
10/14/2024,$161.60,"5,963,961",$161.40,$162.14,$160.90
10/11/2024,$161.46,"5,253,459",$162.18,$162.66,$161.20
10/10/2024,$160.51,"4,793,889",$161.36,$161.39,$159.995
10/09/2024,$160.65,"6,047,269",$159.92,$161.215,$159.51
10/08/2024,$159.69,"4,766,250",$159.49,$160.245,$158.95
10/07/2024,$159.53,"4,265,971",$160.25,$160.86,$159.22
10/04/2024,$160.29,"5,331,694",$159.63,$160.50,$158.775
10/03/2024,$160.50,"4,791,223",$160.78,$161.44,$160.22
10/02/2024,$161.17,"4,684,472",$161.51,$162.12,$160.65
10/01/2024,$161.99,"4,408,019",$162.43,$162.75,$161.18
09/30/2024,$162.06,"6,010,407",$161.57,$162.18,$160.68
09/27/2024,$161.40,"7,553,905",$162.00,$163.43,$161.34
09/26/2024,$161.39,"6,122,231",$160.24,$161.54,$160.02
09/25/2024,$160.60,"5,420,011",$163.00,$163.315,$160.36
09/24/2024,$162.78,"6,041,561",$162.79,$163.49,$161.55
09/23/2024,$163.22,"4,671,645",$164.40,$164.50,$162.72
