date,close,volume,open,high,low
11/20/2024,$97.44,"12,136,770",$96.98,$98.84,$96.66
11/19/2024,$96.54,"13,093,070",$96.73,$97.55,$95.26
11/18/2024,$96.56,"14,140,330",$96.56,$97.29,$95.42
11/15/2024,$96.31,"16,464,510",$97.92,$97.92,$94.48
11/14/2024,$98.36,"8,704,483",$99.18,$99.40,$97.95
11/13/2024,$98.50,"8,869,661",$98.51,$99.45,$97.90
11/12/2024,$98.58,"12,282,890",$100.76,$100.77,$98.50
11/11/2024,$100.73,"10,075,260",$102.53,$103.40,$100.46
11/08/2024,$102.92,"9,208,036",$101.48,$103.23,$101.00
11/07/2024,$101.17,"8,676,105",$101.44,$101.69,$100.85
11/06/2024,$100.73,"9,551,335",$103.18,$103.23,$100.60
11/05/2024,$101.65,"6,741,403",$101.36,$101.73,$100.52
11/04/2024,$101.87,"9,182,560",$102.00,$102.53,$100.945
11/01/2024,$101.88,"10,180,980",$101.78,$102.72,$101.21
10/31/2024,$102.32,"17,413,050",$100.93,$103.23,$98.60
10/30/2024,$104.83,"13,897,190",$103.46,$105.00,$102.90
10/29/2024,$103.73,"9,296,241",$104.315,$105.11,$103.70
10/28/2024,$104.23,"6,968,944",$104.60,$105.00,$103.93
10/25/2024,$103.98,"9,625,498",$106.49,$106.49,$103.86
10/24/2024,$105.88,"8,295,933",$106.05,$106.62,$105.26
10/23/2024,$106.38,"8,271,659",$106.74,$107.3623,$106.20
10/22/2024,$106.64,"11,576,050",$105.91,$106.90,$105.71
10/21/2024,$106.34,"11,444,860",$109.08,$109.17,$106.18
10/18/2024,$108.70,"9,523,037",$109.90,$109.92,$108.555
10/17/2024,$109.75,"8,541,678",$110.135,$110.19,$109.50
10/16/2024,$110.42,"8,729,248",$111.00,$111.20,$109.02
10/15/2024,$111.53,"9,109,498",$109.96,$111.58,$109.89
10/14/2024,$109.69,"8,130,716",$109.43,$110.065,$108.68
10/11/2024,$109.73,"8,578,442",$109.10,$109.915,$107.90
10/10/2024,$109.40,"6,006,681",$110.70,$110.83,$109.17
10/09/2024,$110.27,"8,627,785",$108.41,$110.30,$108.20
10/08/2024,$108.52,"8,832,415",$107.97,$108.75,$107.81
10/07/2024,$108.59,"8,654,772",$109.695,$110.98,$108.18
10/04/2024,$109.77,"9,721,325",$109.49,$110.30,$109.39
10/03/2024,$110.18,"10,280,550",$111.82,$112.08,$109.825
10/02/2024,$112.08,"9,041,754",$114.55,$114.60,$111.98
10/01/2024,$114.74,"7,715,526",$113.96,$114.79,$113.11
09/30/2024,$113.56,"10,949,980",$113.61,$114.01,$112.70
09/27/2024,$113.69,"11,920,110",$113.17,$114.34,$113.00
09/26/2024,$113.09,"11,132,090",$113.88,$114.00,$112.93
09/25/2024,$114.73,"7,902,444",$115.30,$116.02,$114.62
09/24/2024,$114.96,"9,840,382",$115.85,$116.26,$114.32
09/23/2024,$115.63,"6,665,286",$117.20,$118.16,$115.52
09/20/2024,$117.17,"21,200,970",$117.27,$117.50,$116.41
09/19/2024,$117.23,"9,963,048",$118.90,$119.20,$116.29
09/18/2024,$118.64,"11,135,560",$118.20,$119.38,$117.87
09/17/2024,$118.29,"7,915,148",$118.97,$119.14,$117.73
09/16/2024,$117.96,"7,846,101",$115.80,$118.37,$115.80
09/13/2024,$115.86,"6,709,621",$116.09,$116.77,$115.00
09/12/2024,$115.25,"8,331,083",$114.47,$115.505,$114.04
09/11/2024,$114.71,"7,836,628",$114.94,$115.89,$114.27
09/10/2024,$115.33,"12,734,520",$115.21,$116.09,$113.33
09/09/2024,$115.41,"14,880,190",$113.15,$116.90,$112.41
09/06/2024,$117.84,"8,577,276",$119.095,$120.30,$117.65
09/05/2024,$118.59,"12,009,660",$116.61,$120.07,$116.35
09/04/2024,$115.80,"7,693,362",$116.66,$116.73,$114.47
09/03/2024,$116.58,"7,640,303",$118.26,$118.84,$116.42
08/30/2024,$118.45,"8,876,478",$117.27,$118.75,$117.15
08/29/2024,$117.46,"7,202,452",$117.93,$118.395,$116.7901
08/28/2024,$117.40,"5,403,225",$116.60,$118.02,$116.235
08/27/2024,$116.50,"5,502,645",$116.27,$116.62,$115.2501
08/26/2024,$116.27,"6,518,834",$116.73,$117.90,$116.16
08/23/2024,$116.60,"8,368,151",$116.80,$116.805,$115.92
08/22/2024,$116.55,"8,201,177",$116.30,$116.72,$115.22
08/21/2024,$116.03,"8,144,127",$114.78,$116.60,$114.55
08/20/2024,$115.14,"5,392,280",$114.76,$115.30,$114.55
08/19/2024,$114.42,"6,177,499",$113.66,$114.60,$113.31
08/16/2024,$113.67,"10,102,340",$113.61,$113.72,$112.62
08/15/2024,$113.31,"9,685,136",$114.17,$114.50,$112.565
08/14/2024,$113.58,"11,029,420",$113.66,$113.93,$111.51
08/13/2024,$114.39,"9,040,343",$113.57,$114.865,$112.84
08/12/2024,$113.48,"6,536,044",$114.71,$114.71,$113.11
08/09/2024,$114.55,"5,914,321",$113.78,$114.72,$112.87
08/08/2024,$113.92,"8,278,156",$112.92,$114.23,$112.57
08/07/2024,$112.49,"9,756,450",$111.68,$112.545,$110.72
08/06/2024,$111.15,"9,761,855",$112.30,$113.08,$110.92
08/05/2024,$112.31,"13,333,990",$114.95,$115.12,$111.34
08/02/2024,$115.20,"16,562,290",$115.16,$117.30,$114.36
08/01/2024,$113.82,"14,117,460",$113.125,$114.47,$111.405
07/31/2024,$113.13,"22,732,990",$116.00,$117.84,$112.22
07/30/2024,$115.25,"35,509,390",$123.48,$123.94,$113.9101
07/29/2024,$127.78,"9,139,540",$125.775,$127.99,$124.92
07/26/2024,$125.26,"6,467,036",$127.235,$128.73,$125.05
07/25/2024,$125.85,"7,357,140",$126.03,$127.85,$125.71
07/24/2024,$125.92,"6,338,450",$124.97,$126.17,$124.675
07/23/2024,$124.38,"4,285,426",$124.99,$125.62,$124.18
07/22/2024,$125.69,"4,341,784",$125.95,$126.49,$125.03
07/19/2024,$125.77,"6,848,758",$125.30,$126.99,$125.18
07/18/2024,$124.25,"9,501,529",$125.30,$125.595,$122.37
07/17/2024,$125.89,"7,627,972",$125.47,$126.69,$124.56
07/16/2024,$125.44,"8,194,439",$127.87,$129.03,$125.20
07/15/2024,$128.12,"6,918,594",$128.00,$128.34,$127.20
07/12/2024,$127.76,"7,022,250",$129.40,$129.93,$127.32
07/11/2024,$128.97,"7,052,117",$127.61,$129.12,$127.59
07/10/2024,$127.30,"4,588,745",$125.88,$127.48,$125.83
07/09/2024,$126.04,"6,339,265",$125.24,$126.095,$123.70
07/08/2024,$125.78,"5,743,436",$126.80,$127.455,$125.33
07/05/2024,$126.45,"6,786,713",$126.53,$126.60,$124.91
07/03/2024,$125.85,"4,002,054",$127.69,$127.94,$125.30
07/02/2024,$127.72,"5,645,359",$128.21,$128.24,$126.66
07/01/2024,$127.90,"11,532,970",$125.38,$129.19,$125.10
06/28/2024,$123.80,"57,055,460",$129.54,$130.97,$120.87
06/27/2024,$129.82,"11,927,600",$131.99,$132.29,$126.78
06/26/2024,$131.50,"8,492,119",$133.38,$133.43,$131.49
06/25/2024,$132.92,"6,758,429",$133.12,$134.63,$132.6039
