date,close,volume,open,high,low
11/20/2024,$24.94,"46,170,790",$25.07,$25.10,$24.65
11/19/2024,$25.10,"52,381,210",$24.70,$25.11,$24.61
11/18/2024,$24.86,"64,261,280",$24.97,$25.25,$24.70
11/15/2024,$24.80,"131,074,400",$25.70,$25.70,$24.48
11/14/2024,$26.02,"45,262,220",$26.74,$26.85,$25.84
11/13/2024,$26.72,"47,983,090",$26.23,$26.75,$25.975
11/12/2024,$26.19,"53,035,230",$26.23,$26.44,$25.95
11/11/2024,$26.24,"54,329,260",$26.72,$26.83,$26.22
11/08/2024,$26.72,"55,951,320",$27.11,$27.15,$26.71
11/07/2024,$27.46,"48,484,780",$27.53,$27.59,$27.34
11/06/2024,$27.36,"65,749,520",$27.93,$27.99,$27.08
11/05/2024,$27.99,"44,175,840",$27.74,$28.00,$27.58
11/04/2024,$27.76,"41,347,820",$28.10,$28.14,$27.73
11/01/2024,$28.09,"46,894,560",$28.48,$28.54,$28.05
10/31/2024,$28.30,"37,909,600",$28.45,$28.64,$28.29
10/30/2024,$28.52,"47,104,020",$28.31,$28.60,$28.19
10/29/2024,$28.46,"102,267,000",$29.01,$29.17,$28.025
10/28/2024,$28.86,"37,922,530",$28.60,$28.94,$28.56
10/25/2024,$28.45,"26,091,110",$28.68,$28.73,$28.44
10/24/2024,$28.64,"31,473,590",$28.86,$28.98,$28.50
10/23/2024,$28.86,"22,217,570",$28.87,$29.11,$28.67
10/22/2024,$28.84,"29,036,390",$28.90,$28.985,$28.60
10/21/2024,$28.93,"23,395,660",$29.22,$29.22,$28.88
10/18/2024,$29.22,"24,244,870",$29.30,$29.365,$29.08
10/17/2024,$29.27,"23,779,150",$29.48,$29.53,$29.22
10/16/2024,$29.67,"28,414,750",$29.50,$29.82,$29.43
10/15/2024,$29.44,"29,009,880",$29.09,$29.74,$29.07
10/14/2024,$29.08,"23,594,180",$29.16,$29.17,$28.85
10/11/2024,$29.16,"29,617,610",$29.36,$29.44,$28.95
10/10/2024,$29.34,"34,347,730",$29.89,$30.08,$29.28
10/09/2024,$30.19,"44,244,840",$29.22,$30.43,$29.10
10/08/2024,$29.18,"29,126,560",$29.21,$29.49,$29.00
10/07/2024,$29.20,"51,426,590",$29.37,$29.84,$29.11
10/04/2024,$28.58,"28,786,880",$28.29,$28.59,$28.24
10/03/2024,$28.34,"25,678,870",$28.50,$28.52,$28.26
10/02/2024,$28.61,"24,957,180",$28.60,$28.77,$28.38
10/01/2024,$28.67,"30,725,110",$29.05,$29.08,$28.53
09/30/2024,$28.94,"27,481,210",$29.11,$29.19,$28.78
09/27/2024,$29.09,"25,013,040",$29.02,$29.23,$28.92
09/26/2024,$28.97,"32,310,410",$28.48,$29.0099,$28.31
09/25/2024,$28.93,"30,712,710",$29.60,$29.71,$28.91
09/24/2024,$29.50,"21,446,190",$29.245,$29.59,$29.15
09/23/2024,$29.31,"23,126,230",$29.43,$29.47,$29.18
09/20/2024,$29.42,"56,877,420",$29.54,$29.55,$29.23
09/19/2024,$29.66,"22,653,160",$29.89,$30.35,$29.52
09/18/2024,$29.75,"25,812,850",$30.00,$30.14,$29.7301
09/17/2024,$29.83,"27,055,290",$30.045,$30.14,$29.60
09/16/2024,$30.07,"29,224,560",$29.57,$30.14,$29.44
09/13/2024,$29.27,"19,987,680",$29.16,$29.32,$28.99
09/12/2024,$29.16,"32,535,890",$29.58,$29.708,$28.76
