date,close,volume,open,high,low
11/20/2024,$229.00,"35,169,570",$228.06,$229.93,$225.89
11/19/2024,$228.28,"36,211,770",$226.98,$230.16,$226.66
11/18/2024,$228.02,"44,686,020",$225.25,$229.74,$225.17
11/15/2024,$225.00,"47,923,700",$226.40,$226.92,$224.27
11/14/2024,$228.22,"44,923,940",$225.02,$228.87,$225.00
11/13/2024,$225.12,"48,566,220",$224.01,$226.65,$222.76
11/12/2024,$224.23,"40,398,300",$224.55,$225.59,$223.355
11/11/2024,$224.23,"42,005,600",$225.00,$225.70,$221.50
11/08/2024,$226.96,"38,328,820",$227.17,$228.66,$226.405
11/07/2024,$227.48,"42,137,690",$224.625,$227.875,$224.57
11/06/2024,$222.72,"54,561,120",$222.61,$226.065,$221.19
11/05/2024,$223.45,"28,111,340",$221.795,$223.95,$221.14
11/04/2024,$222.01,"44,944,470",$220.99,$222.79,$219.71
11/01/2024,$222.91,"65,276,740",$220.965,$225.35,$220.27
10/31/2024,$225.91,"64,370,090",$229.34,$229.83,$225.37
10/30/2024,$230.10,"47,070,910",$232.61,$233.47,$229.55
10/29/2024,$233.67,"35,417,250",$233.10,$234.325,$232.32
10/28/2024,$233.40,"36,087,130",$233.32,$234.73,$232.55
10/25/2024,$231.41,"38,802,300",$229.74,$233.22,$229.57
10/24/2024,$230.57,"31,109,500",$229.98,$230.82,$228.41
10/23/2024,$230.76,"52,286,980",$234.08,$235.144,$227.76
10/22/2024,$235.86,"38,846,580",$233.885,$236.22,$232.60
10/21/2024,$236.48,"36,254,470",$234.45,$236.85,$234.45
10/18/2024,$235.00,"46,431,470",$236.18,$236.18,$234.01
10/17/2024,$232.15,"32,993,810",$233.43,$233.85,$230.52
10/16/2024,$231.78,"34,082,240",$231.60,$232.12,$229.84
10/15/2024,$233.85,"64,751,370",$233.61,$237.49,$232.37
10/14/2024,$231.30,"39,882,090",$228.70,$231.73,$228.60
10/11/2024,$227.55,"31,759,190",$229.30,$229.41,$227.34
10/10/2024,$229.04,"28,183,540",$227.78,$229.50,$227.17
10/09/2024,$229.54,"33,591,090",$225.23,$229.75,$224.83
10/08/2024,$225.77,"31,855,690",$224.30,$225.98,$223.25
10/07/2024,$221.69,"39,505,350",$224.50,$225.69,$221.33
10/04/2024,$226.80,"37,345,100",$227.90,$228.00,$224.13
10/03/2024,$225.67,"34,044,160",$225.14,$226.805,$223.32
10/02/2024,$226.78,"32,880,610",$225.89,$227.37,$223.02
10/01/2024,$226.21,"63,285,050",$229.52,$229.65,$223.74
09/30/2024,$233.00,"54,793,390",$230.04,$233.00,$229.65
09/27/2024,$227.79,"34,025,970",$228.46,$229.52,$227.30
09/26/2024,$227.52,"36,636,710",$227.30,$228.50,$225.41
09/25/2024,$226.37,"42,308,720",$224.93,$227.29,$224.02
09/24/2024,$227.37,"43,556,070",$228.645,$229.35,$225.73
09/23/2024,$226.47,"54,146,020",$227.34,$229.45,$225.81
09/20/2024,$228.20,"318,679,900",$229.97,$233.09,$227.62
09/19/2024,$228.87,"66,781,320",$224.99,$229.82,$224.63
09/18/2024,$220.69,"59,894,930",$217.55,$222.71,$217.54
09/17/2024,$216.79,"45,519,340",$215.75,$216.90,$214.50
09/16/2024,$216.32,"59,357,430",$216.54,$217.22,$213.92
09/13/2024,$222.50,"36,766,620",$223.58,$224.04,$221.91
09/12/2024,$222.77,"37,498,230",$222.50,$223.55,$219.82
09/11/2024,$222.66,"44,587,070",$221.455,$223.09,$217.89
09/10/2024,$220.11,"51,591,030",$218.92,$221.48,$216.73
09/09/2024,$220.91,"67,179,970",$220.82,$221.27,$216.71
09/06/2024,$220.82,"48,423,010",$223.95,$225.24,$219.77
09/05/2024,$222.38,"36,615,400",$221.625,$225.48,$221.52
09/04/2024,$220.85,"43,840,200",$221.66,$221.78,$217.48
09/03/2024,$222.77,"50,190,570",$228.55,$229.00,$221.17
