date,close,volume,open,high,low
11/20/2024,$177.33,"15,729,810",$178.83,$179.11,$175.33
11/19/2024,$179.58,"15,392,870",$175.235,$180.17,$175.116
11/18/2024,$176.80,"18,725,420",$174.955,$176.91,$174.42
11/15/2024,$173.89,"21,708,870",$175.64,$175.88,$172.745
11/14/2024,$177.35,"17,925,760",$179.75,$180.445,$176.03
11/13/2024,$180.49,"13,969,710",$182.15,$182.615,$180.12
11/12/2024,$183.32,"14,065,850",$181.38,$184.025,$180.99
11/11/2024,$181.97,"12,503,420",$180.07,$182.085,$179.99
11/08/2024,$179.86,"15,021,550",$182.00,$182.35,$179.57
11/07/2024,$182.28,"16,730,410",$179.11,$182.58,$178.89
11/06/2024,$178.33,"27,061,510",$175.35,$178.64,$175.04
11/05/2024,$171.41,"12,518,280",$170.83,$172.0973,$170.37
11/04/2024,$170.68,"16,193,990",$171.24,$171.92,$169.485
11/01/2024,$172.65,"21,752,860",$171.54,$173.82,$170.31
10/31/2024,$172.69,"32,801,900",$174.72,$178.42,$172.56
10/30/2024,$176.14,"49,698,310",$182.41,$183.79,$175.7451
10/29/2024,$171.14,"28,916,110",$169.385,$171.86,$168.66
10/28/2024,$168.34,"20,858,250",$170.59,$170.606,$165.79
10/25/2024,$166.99,"14,566,410",$165.365,$167.40,$165.23
10/24/2024,$164.53,"12,764,430",$164.59,$165.05,$162.77
10/23/2024,$164.48,"12,754,280",$166.43,$167.60,$163.6325
10/22/2024,$166.82,"11,958,620",$164.70,$167.47,$164.67
10/21/2024,$165.80,"11,384,050",$164.58,$166.22,$164.305
10/18/2024,$165.05,"13,091,270",$164.87,$166.3699,$164.75
10/17/2024,$164.51,"15,113,360",$167.38,$167.93,$164.37
10/16/2024,$166.74,"9,968,474",$166.03,$167.28,$165.216
10/15/2024,$166.90,"14,829,340",$167.14,$169.09,$166.05
10/14/2024,$166.35,"9,981,765",$164.91,$167.62,$164.78
10/11/2024,$164.52,"10,945,970",$163.33,$165.27,$162.50
10/10/2024,$163.18,"12,900,490",$162.11,$164.3107,$161.64
10/09/2024,$163.06,"19,666,410",$164.855,$166.26,$161.12
10/08/2024,$165.70,"11,723,890",$165.43,$166.10,$164.31
10/07/2024,$164.39,"14,034,720",$169.14,$169.90,$164.13
10/04/2024,$168.56,"11,435,320",$169.34,$169.55,$166.96
10/03/2024,$167.21,"11,004,330",$165.82,$167.91,$165.37
10/02/2024,$167.31,"12,744,980",$167.76,$168.88,$166.25
10/01/2024,$168.42,"18,629,510",$168.86,$170.44,$165.90
09/30/2024,$167.19,"14,083,450",$164.78,$167.36,$164.64
09/27/2024,$165.29,"13,604,260",$163.91,$166.97,$163.83
09/26/2024,$163.83,"18,234,500",$165.03,$165.50,$163.50
09/25/2024,$162.99,"13,607,890",$162.97,$164.217,$162.775
09/24/2024,$163.64,"18,774,060",$164.25,$164.55,$162.03
09/23/2024,$163.07,"15,648,450",$165.34,$166.61,$162.95
09/20/2024,$164.64,"46,362,670",$164.52,$164.75,$163.18
09/19/2024,$163.24,"17,548,190",$164.82,$164.99,$162.5216
09/18/2024,$160.81,"16,756,450",$160.85,$161.63,$159.66
09/17/2024,$160.28,"12,064,790",$160.09,$161.59,$159.41
09/16/2024,$158.99,"14,157,610",$158.33,$159.24,$157.61
09/13/2024,$158.37,"16,733,910",$156.362,$159.275,$156.11
09/12/2024,$155.54,"21,024,060",$154.81,$155.61,$153.50
09/11/2024,$152.15,"18,991,490",$151.09,$152.48,$148.70
09/10/2024,$150.01,"20,401,770",$151.45,$152.30,$149.5427
09/09/2024,$149.54,"28,057,750",$153.63,$154.64,$148.20
09/06/2024,$152.13,"24,999,060",$158.69,$159.22,$151.935
09/05/2024,$158.60,"14,139,500",$157.78,$161.015,$157.52
09/04/2024,$157.81,"17,410,650",$158.075,$160.40,$157.44
09/03/2024,$158.61,"26,533,110",$163.315,$163.38,$157.855
08/30/2024,$165.11,"18,498,780",$164.22,$165.28,$163.41
08/29/2024,$163.40,"17,133,830",$166.06,$167.63,$161.982
08/28/2024,$164.50,"15,208,740",$166.78,$167.39,$163.28
08/27/2024,$166.38,"13,718,160",$167.61,$168.245,$166.16
08/26/2024,$167.93,"11,990,310",$168.155,$169.38,$166.32
08/23/2024,$167.43,"14,281,620",$166.55,$167.95,$165.66
08/22/2024,$165.49,"19,123,780",$169.04,$169.42,$165.03
08/21/2024,$167.63,"15,269,550",$166.99,$168.64,$166.57
08/20/2024,$168.96,"12,622,520",$168.74,$170.41,$168.66
08/19/2024,$168.40,"13,100,760",$167.00,$168.47,$166.09
08/16/2024,$164.74,"16,853,140",$163.41,$166.95,$163.08
08/15/2024,$163.17,"18,392,450",$162.21,$163.52,$161.49
08/14/2024,$162.03,"22,515,900",$164.21,$164.96,$159.53
08/13/2024,$165.93,"12,717,630",$165.185,$166.54,$164.77
08/12/2024,$163.95,"12,434,970",$165.995,$166.70,$163.55
08/09/2024,$165.39,"13,549,230",$161.645,$165.52,$160.93
08/08/2024,$163.84,"15,733,610",$162.344,$165.50,$162.03
08/07/2024,$160.75,"19,334,250",$163.24,$164.79,$160.24
08/06/2024,$160.54,"36,146,540",$160.945,$162.35,$158.13
08/05/2024,$160.64,"34,907,820",$157.37,$165.94,$156.60
08/02/2024,$168.40,"18,907,770",$168.19,$170.21,$166.39
08/01/2024,$172.45,"17,177,830",$171.98,$175.68,$170.51
07/31/2024,$173.15,"15,650,150",$174.92,$175.91,$171.72
