date,close,volume,open,high,low
11/20/2024,$565.52,"9,797,339",$562.93,$566.3499,$554.2001
11/19/2024,$561.09,"9,522,445",$551.86,$561.43,$550.60
11/18/2024,$554.40,"14,346,720",$557.04,$559.90,$550.09
11/15/2024,$554.08,"17,712,860",$571.22,$572.57,$551.50
11/14/2024,$577.16,"11,053,740",$577.00,$580.76,$573.01
11/13/2024,$580.00,"10,757,580",$582.605,$585.64,$575.17
11/12/2024,$584.82,"16,287,720",$588.545,$599.66,$580.38
11/11/2024,$583.17,"10,209,050",$586.36,$587.00,$576.51
11/08/2024,$589.34,"9,415,699",$591.54,$593.10,$584.52
11/07/2024,$591.70,"14,653,710",$576.89,$594.7999,$575.21
11/06/2024,$572.05,"18,305,430",$562.75,$573.00,$555.1679
11/05/2024,$572.43,"9,775,379",$567.305,$573.48,$566.67
11/04/2024,$560.68,"12,064,600",$564.10,$568.69,$557.89
11/01/2024,$567.16,"15,303,240",$567.605,$573.67,$562.56
10/31/2024,$567.58,"26,838,400",$585.00,$589.90,$563.01
10/30/2024,$591.80,"26,864,930",$600.98,$601.20,$589.38
10/29/2024,$593.28,"13,019,090",$580.145,$593.67,$575.398
10/28/2024,$578.16,"10,925,130",$582.00,$583.7499,$574.12
10/25/2024,$573.25,"11,337,870",$573.935,$581.29,$571.72
10/24/2024,$567.78,"7,184,651",$567.125,$568.8799,$561.52
10/23/2024,$563.69,"14,248,420",$579.97,$585.00,$562.50
10/22/2024,$582.01,"8,544,463",$574.29,$583.53,$572.12
10/21/2024,$575.16,"8,171,879",$576.03,$577.2399,$569.11
10/18/2024,$576.47,"7,694,274",$581.10,$583.9675,$575.25
10/17/2024,$576.93,"8,701,158",$583.33,$584.97,$575.20
10/16/2024,$576.79,"11,268,380",$581.395,$582.08,$574.03
10/15/2024,$586.27,"9,564,236",$590.16,$590.61,$580.143
10/14/2024,$590.42,"8,251,971",$594.22,$600.10,$589.96
10/11/2024,$589.95,"8,587,051",$584.83,$591.21,$582.71
10/10/2024,$583.83,"7,740,449",$587.57,$590.23,$582.52
10/09/2024,$590.51,"9,529,707",$593.99,$594.39,$581.61
10/08/2024,$592.89,"7,857,377",$589.69,$593.56,$585.97
10/07/2024,$584.78,"12,014,200",$598.22,$602.95,$584.04
10/04/2024,$595.94,"14,199,790",$583.73,$596.85,$581.43
10/03/2024,$582.77,"11,580,980",$570.15,$583.36,$568.73
10/02/2024,$572.81,"6,524,650",$574.86,$576.00,$569.34
10/01/2024,$576.47,"15,259,270",$577.98,$583.04,$570.10
09/30/2024,$572.44,"12,807,210",$567.70,$574.68,$564.80
09/27/2024,$567.36,"9,398,367",$570.10,$570.8399,$564.51
09/26/2024,$567.84,"14,400,790",$575.73,$577.40,$562.3501
09/25/2024,$568.31,"16,543,350",$564.05,$576.88,$563.72
09/24/2024,$563.33,"12,992,960",$566.68,$567.745,$554.19
09/23/2024,$564.41,"12,830,670",$569.50,$573.9799,$562.41
09/20/2024,$561.35,"22,066,820",$560.00,$564.50,$556.3001
09/19/2024,$559.10,"15,646,950",$550.00,$562.07,$546.52
09/18/2024,$537.95,"10,323,540",$537.065,$544.20,$533.9026
09/17/2024,$536.315,"11,690,780",$537.60,$542.10,$530.57
09/16/2024,$533.28,"9,527,646",$524.54,$534.10,$517.40
09/13/2024,$524.62,"10,321,420",$520.34,$527.581,$517.11
09/12/2024,$525.60,"11,993,340",$517.05,$526.71,$515.22
09/11/2024,$511.83,"10,782,530",$507.01,$513.12,$495.60
09/10/2024,$504.79,"9,899,022",$508.16,$514.18,$500.0278
09/09/2024,$504.79,"11,047,830",$506.16,$511.33,$502.08
09/06/2024,$500.27,"14,744,520",$521.88,$524.5849,$498.25
09/05/2024,$516.86,"8,640,888",$511.72,$521.6295,$511.15
09/04/2024,$512.74,"8,335,207",$506.07,$516.59,$504.07
09/03/2024,$511.76,"12,459,110",$519.64,$525.49,$508.6176
08/30/2024,$521.31,"9,157,541",$521.35,$523.54,$515.20
08/29/2024,$518.22,"8,317,424",$519.05,$527.20,$515.6789
08/28/2024,$516.78,"9,106,077",$517.675,$521.085,$512.45
08/27/2024,$519.10,"6,282,720",$518.98,$524.01,$515.31
08/26/2024,$521.12,"9,584,002",$527.60,$528.00,$514.95
08/23/2024,$528.00,"11,323,940",$536.92,$539.87,$525.06
08/22/2024,$531.93,"15,708,290",$537.00,$544.23,$528.59
08/21/2024,$535.16,"13,423,290",$527.15,$539.40,$526.935
08/20/2024,$526.73,"7,944,391",$528.35,$531.09,$525.88
08/19/2024,$529.28,"9,879,713",$526.87,$531.66,$522.76
08/16/2024,$527.42,"14,776,680",$531.90,$533.66,$524.66
08/15/2024,$537.33,"13,482,140",$531.79,$539.77,$526.70
08/14/2024,$526.76,"11,444,190",$528.06,$534.00,$523.13
08/13/2024,$528.54,"13,743,840",$520.01,$531.4999,$518.15
08/12/2024,$515.95,"9,767,422",$516.86,$518.02,$509.10
08/09/2024,$517.77,"13,696,640",$507.71,$518.34,$505.70
08/08/2024,$509.63,"16,156,840",$497.50,$509.96,$494.72
08/07/2024,$488.92,"20,105,310",$503.13,$510.15,$486.86
08/06/2024,$494.09,"20,954,960",$479.00,$502.56,$478.65
08/05/2024,$475.73,"21,396,190",$451.345,$483.48,$450.80
08/02/2024,$488.14,"24,044,660",$489.00,$501.145,$476.15
08/01/2024,$497.74,"43,083,080",$521.00,$527.1709,$492.10
07/31/2024,$474.83,"24,285,780",$471.02,$476.50,$466.75
07/30/2024,$463.19,"11,390,440",$467.00,$472.73,$456.70
07/29/2024,$465.71,"11,339,630",$469.88,$473.96,$465.02
07/26/2024,$465.70,"14,222,390",$464.195,$469.77,$459.42
07/25/2024,$453.41,"18,240,490",$463.26,$463.548,$442.65
07/24/2024,$461.27,"17,649,740",$472.305,$476.30,$460.58
07/23/2024,$488.69,"9,455,527",$489.84,$495.22,$487.72
07/22/2024,$487.40,"12,023,090",$486.575,$492.06,$483.90
07/19/2024,$476.79,"15,149,420",$476.06,$486.71,$475.71
07/18/2024,$475.85,"19,267,160",$475.00,$479.2393,$464.54
07/17/2024,$461.99,"28,076,600",$479.17,$479.17,$459.12
07/16/2024,$489.79,"14,075,830",$501.50,$503.9499,$485.79
07/15/2024,$496.16,"12,539,160",$498.63,$506.6799,$493.37
07/12/2024,$498.87,"19,750,540",$497.755,$508.09,$494.23
07/11/2024,$512.70,"16,458,250",$530.89,$535.46,$508.3733
07/10/2024,$534.69,"10,983,280",$530.79,$538.88,$528.36
07/09/2024,$530.00,"8,769,088",$533.75,$537.48,$528.1901
07/08/2024,$529.32,"14,917,500",$542.35,$542.81,$526.65
07/05/2024,$539.91,"21,354,090",$511.60,$540.87,$511.60
07/03/2024,$509.96,"6,005,615",$506.37,$511.28,$506.02
07/02/2024,$509.50,"7,739,479",$500.76,$510.50,$499.45
07/01/2024,$504.68,"10,328,150",$504.95,$506.58,$493.17
06/28/2024,$504.22,"15,855,140",$517.15,$521.88,$503.84
06/27/2024,$519.56,"10,121,200",$514.25,$522.8799,$513.90
06/26/2024,$513.12,"8,882,337",$506.645,$513.81,$504.6765
06/25/2024,$510.60,"12,109,770",$497.05,$510.71,$495.50
06/24/2024,$498.91,"13,525,280",$499.20,$507.80,$494.29
06/21/2024,$494.78,"23,130,730",$503.45,$503.45,$492.39
06/20/2024,$501.70,"11,801,180",$502.00,$503.67,$496.77
06/18/2024,$499.49,"13,060,430",$504.56,$506.00,$495.02
06/17/2024,$506.63,"11,266,600",$501.67,$510.75,$496.01
06/14/2024,$504.16,"10,243,350",$502.65,$507.15,$500.75
06/13/2024,$504.10,"9,954,621",$505.71,$509.36,$501.36
06/12/2024,$508.84,"11,983,230",$513.99,$514.01,$504.47
06/11/2024,$507.47,"9,673,715",$500.16,$507.60,$498.27
06/10/2024,$502.60,"11,236,920",$493.86,$502.66,$493.41
06/07/2024,$492.96,"9,380,745",$495.91,$498.91,$490.1701
06/06/2024,$493.76,"10,667,340",$492.98,$502.82,$490.89
06/05/2024,$495.06,"15,690,480",$484.45,$496.65,$483.91
06/04/2024,$476.99,"7,088,718",$477.00,$478.89,$473.2322
06/03/2024,$477.49,"11,279,390",$470.86,$479.60,$468.24
05/31/2024,$466.83,"16,919,810",$465.80,$469.12,$454.4601
05/30/2024,$467.05,"10,735,230",$471.67,$471.73,$464.71
05/29/2024,$474.36,"9,226,218",$474.66,$479.85,$473.70
05/28/2024,$479.92,"10,175,770",$476.575,$480.86,$474.84
05/24/2024,$478.22,"12,024,250",$467.62,$479.8499,$466.30
05/23/2024,$465.78,"11,747,910",$472.88,$474.3581,$461.54
05/22/2024,$467.78,"10,078,610",$467.87,$473.7199,$465.65
05/21/2024,$464.63,"11,742,190",$467.12,$470.70,$462.27
05/20/2024,$468.84,"11,745,080",$469.95,$473.20,$467.04
05/17/2024,$471.91,"10,807,290",$470.83,$472.80,$468.42
05/16/2024,$473.23,"16,608,180",$475.00,$477.69,$472.75
05/15/2024,$481.54,"13,100,470",$474.98,$482.4999,$471.20
05/14/2024,$471.85,"10,478,550",$463.37,$472.54,$460.08
05/13/2024,$468.01,"14,668,800",$472.75,$473.35,$462.85
05/10/2024,$476.20,"10,750,000",$477.09,$477.50,$469.60
05/09/2024,$475.42,"9,437,651",$470.00,$476.08,$467.63
05/08/2024,$472.60,"11,683,930",$463.50,$475.58,$463.002
05/07/2024,$468.24,"13,406,820",$466.29,$471.53,$461.31
05/06/2024,$465.68,"15,094,630",$455.58,$466.16,$453.34
05/03/2024,$451.96,"16,489,060",$445.93,$454.17,$443.85
05/02/2024,$441.68,"15,221,320",$438.84,$443.96,$432.28
05/01/2024,$439.19,"20,344,950",$428.60,$449.96,$427.11
04/30/2024,$430.17,"18,429,500",$431.05,$439.6199,$429.72
04/29/2024,$432.62,"21,502,650",$439.56,$439.76,$428.56
04/26/2024,$443.29,"32,691,440",$441.46,$446.44,$431.96
04/25/2024,$441.38,"82,890,740",$421.40,$445.77,$414.50
04/24/2024,$493.50,"37,772,680",$508.06,$510.00,$484.58
04/23/2024,$496.10,"15,079,200",$491.25,$498.76,$488.97
04/22/2024,$481.73,"17,271,130",$489.715,$492.01,$473.40
04/19/2024,$481.07,"25,215,360",$502.80,$502.80,$475.73
04/18/2024,$501.80,"14,808,670",$499.82,$512.21,$499.04
04/17/2024,$494.17,"12,193,740",$503.10,$503.16,$487.14
04/16/2024,$499.76,"9,847,925",$498.11,$504.7699,$497.11
04/15/2024,$500.23,"13,512,890",$516.72,$518.53,$497.28
04/12/2024,$511.90,"11,984,540",$517.75,$520.1899,$509.33
04/11/2024,$523.16,"10,369,470",$521.11,$523.86,$517.29
04/10/2024,$519.83,"11,418,490",$509.29,$522.5599,$505.80
04/09/2024,$516.90,"10,881,450",$522.23,$525.87,$506.74
04/08/2024,$519.25,"13,260,580",$529.28,$531.4899,$518.89
04/05/2024,$527.34,"19,263,270",$516.855,$530.70,$514.4099
04/04/2024,$510.92,"26,476,250",$516.42,$530.00,$510.58
04/03/2024,$506.74,"12,099,170",$498.93,$507.24,$498.75
04/02/2024,$497.37,"11,081,030",$485.10,$497.53,$484.65
04/01/2024,$491.35,"9,247,007",$487.20,$497.43,$481.78
03/28/2024,$485.58,"15,212,760",$492.84,$492.89,$485.15
03/27/2024,$493.86,"9,989,676",$499.30,$499.89,$488.07
03/26/2024,$495.89,"11,205,380",$505.13,$510.00,$495.2137
03/25/2024,$503.02,"8,380,617",$505.79,$507.22,$500.2411
03/22/2024,$509.58,"8,120,593",$507.00,$509.97,$504.34
03/21/2024,$507.76,"9,712,549",$514.71,$515.04,$506.01
03/20/2024,$505.52,"11,711,100",$499.50,$508.1999,$495.17
03/19/2024,$496.24,"10,903,090",$488.17,$496.6296,$481.28
03/18/2024,$496.98,"11,755,250",$491.91,$497.42,$486.81
03/15/2024,$484.10,"29,153,580",$489.01,$491.83,$481.3001
03/14/2024,$491.83,"12,620,010",$500.255,$501.35,$488.16
03/13/2024,$495.57,"12,090,660",$495.39,$500.98,$491.0318
03/12/2024,$499.75,"15,448,230",$493.26,$502.31,$484.73
03/11/2024,$483.59,"20,428,270",$497.01,$497.318,$476.00
03/08/2024,$505.95,"18,597,060",$514.19,$523.57,$499.35
03/07/2024,$512.19,"18,586,440",$503.28,$519.85,$501.38
03/06/2024,$496.09,"11,757,930",$497.63,$502.97,$494.292
03/05/2024,$490.22,"15,325,300",$495.00,$495.58,$487.89
03/04/2024,$498.19,"12,324,140",$503.00,$504.42,$496.42
03/01/2024,$502.30,"15,884,880",$492.11,$504.25,$491.85
02/29/2024,$490.13,"17,732,050",$488.44,$491.70,$482.61
02/28/2024,$484.02,"12,715,490",$485.00,$491.05,$482.75
02/27/2024,$487.05,"10,809,600",$479.975,$487.27,$479.92
02/26/2024,$481.74,"12,101,420",$483.47,$486.14,$480.60
02/23/2024,$484.03,"18,374,290",$488.05,$494.3599,$482.3482
02/22/2024,$486.13,"21,625,810",$480.24,$489.99,$476.0618
02/21/2024,$468.03,"12,977,050",$466.50,$469.00,$461.79
02/20/2024,$471.75,"18,015,520",$469.715,$476.18,$466.56
02/16/2024,$473.32,"23,324,620",$478.11,$478.96,$469.21
02/15/2024,$484.03,"24,212,330",$475.28,$488.62,$472.22
02/14/2024,$473.28,"16,858,400",$467.93,$474.11,$466.0901
02/13/2024,$460.12,"20,916,600",$456.87,$467.89,$455.09
02/12/2024,$468.90,"19,381,960",$468.19,$479.145,$466.58
02/09/2024,$468.11,"18,413,140",$472.95,$473.59,$467.465
02/08/2024,$470.00,"18,815,100",$468.32,$470.59,$465.03
02/07/2024,$469.59,"23,065,990",$458.00,$471.52,$456.1773
02/06/2024,$454.72,"21,655,210",$464.00,$467.12,$453.00
02/05/2024,$459.41,"40,832,380",$469.88,$471.90,$459.22
02/02/2024,$474.99,"84,707,650",$459.60,$485.96,$453.01
02/01/2024,$394.78,"29,727,050",$393.94,$400.50,$393.05
01/31/2024,$390.14,"20,180,820",$389.00,$398.00,$387.10
01/30/2024,$400.06,"18,614,730",$403.59,$406.36,$399.57
01/29/2024,$401.02,"18,742,430",$394.985,$402.93,$393.10
01/26/2024,$394.14,"13,159,290",$394.35,$396.79,$391.5908
01/25/2024,$393.18,"15,091,080",$390.17,$395.49,$385.66
01/24/2024,$390.70,"15,604,290",$390.00,$396.15,$387.81
01/23/2024,$385.20,"15,506,100",$384.615,$388.38,$382.075
01/22/2024,$381.78,"17,680,450",$387.95,$390.3525,$381.1601
01/19/2024,$383.45,"21,670,810",$379.00,$384.36,$377.97
01/18/2024,$376.13,"16,354,330",$371.49,$376.85,$370.95
01/17/2024,$368.37,"12,724,780",$366.30,$368.54,$358.61
01/16/2024,$367.46,"15,306,890",$373.65,$375.61,$367.23
01/12/2024,$374.49,"19,310,050",$370.155,$377.06,$369.54
01/11/2024,$369.67,"17,205,390",$372.13,$372.78,$362.93
01/10/2024,$370.47,"22,117,210",$360.17,$372.94,$359.08
01/09/2024,$357.43,"13,463,870",$356.40,$360.64,$355.36
01/08/2024,$358.66,"13,890,220",$354.70,$358.98,$352.05
01/05/2024,$351.95,"13,750,910",$346.99,$353.50,$346.2601
01/04/2024,$347.12,"12,099,900",$344.50,$348.1499,$343.3987
01/03/2024,$344.47,"15,451,130",$344.98,$347.95,$343.175
01/02/2024,$346.29,"19,042,150",$351.32,$353.16,$340.01
12/29/2023,$353.96,"14,987,090",$358.99,$360.00,$351.82
12/28/2023,$358.32,"11,798,810",$359.70,$361.90,$357.81
12/27/2023,$357.83,"13,207,930",$356.07,$359.00,$355.31
12/26/2023,$354.83,"9,898,614",$354.99,$356.98,$353.45
12/22/2023,$353.39,"11,772,780",$355.58,$357.1999,$351.22
12/21/2023,$354.09,"15,289,560",$352.98,$356.405,$349.21
12/20/2023,$349.28,"16,369,850",$348.65,$354.96,$347.79
12/19/2023,$350.36,"17,729,360",$345.58,$353.60,$345.12
12/18/2023,$344.62,"18,993,850",$337.48,$347.56,$337.02
12/15/2023,$334.92,"31,776,850",$331.99,$338.66,$331.22
12/14/2023,$333.17,"19,607,340",$333.85,$334.70,$328.6371
12/13/2023,$334.74,"16,353,320",$333.93,$338.37,$332.64
12/12/2023,$334.22,"18,485,460",$324.60,$334.47,$324.56
12/11/2023,$325.28,"25,802,460",$329.40,$329.89,$319.995
12/08/2023,$332.75,"14,087,350",$323.09,$333.17,$323.00
12/07/2023,$326.59,"15,905,080",$317.77,$328.24,$317.77
12/06/2023,$317.45,"11,294,340",$321.93,$322.25,$317.04
12/05/2023,$318.29,"16,952,130",$318.98,$321.88,$315.39
12/04/2023,$320.02,"19,037,080",$317.29,$320.86,$313.66
12/01/2023,$324.82,"15,276,380",$325.48,$326.86,$320.76
11/30/2023,$327.15,"23,146,390",$331.89,$333.50,$322.4037
11/29/2023,$332.20,"16,024,500",$339.69,$339.90,$330.78
11/28/2023,$338.99,"12,637,250",$333.40,$339.375,$333.40
11/27/2023,$334.70,"15,684,450",$336.18,$339.90,$334.20
11/24/2023,$338.23,"5,467,488",$340.13,$341.8556,$336.77
11/22/2023,$341.49,"10,715,180",$339.21,$342.92,$338.58
11/21/2023,$336.98,"12,027,860",$338.33,$339.9015,$335.90
11/20/2023,$339.97,"16,976,130",$334.89,$341.87,$334.19
11/17/2023,$335.04,"14,519,210",$330.26,$335.50,$329.35
11/16/2023,$334.19,"18,932,570",$329.37,$334.58,$326.38
11/15/2023,$332.71,"14,531,180",$337.93,$338.40,$330.02
11/14/2023,$336.31,"17,179,400",$334.54,$338.10,$333.33
11/13/2023,$329.19,"16,908,950",$326.20,$332.33,$325.70
11/10/2023,$328.77,"19,116,920",$319.94,$329.10,$319.46
11/09/2023,$320.55,"16,103,070",$319.418,$324.1799,$318.80
11/08/2023,$319.78,"13,609,700",$318.14,$321.33,$314.88
11/07/2023,$318.82,"14,055,610",$317.06,$321.00,$315.12
11/06/2023,$315.80,"12,887,700",$315.98,$318.33,$314.45
11/03/2023,$314.60,"16,764,320",$312.55,$315.55,$311.0167
11/02/2023,$310.87,"21,631,820",$317.30,$318.82,$308.33
11/01/2023,$311.85,"20,434,580",$301.85,$312.74,$301.85
10/31/2023,$301.27,"19,434,170",$303.31,$303.68,$296.86
10/30/2023,$302.66,"28,435,050",$299.09,$309.3967,$299.05
10/27/2023,$296.73,"29,596,260",$294.48,$299.31,$292.97
10/26/2023,$288.35,"66,684,140",$295.00,$295.00,$279.403
10/25/2023,$299.53,"42,192,470",$310.00,$310.88,$298.84
10/24/2023,$312.55,"19,525,490",$316.78,$318.35,$310.63
10/23/2023,$314.01,"17,796,790",$309.50,$317.36,$307.26
10/20/2023,$308.65,"22,312,280",$314.14,$315.30,$306.47
10/19/2023,$312.81,"18,709,160",$319.875,$321.89,$311.7504
10/18/2023,$316.97,"16,851,000",$321.39,$325.94,$315.56
10/17/2023,$324.00,"16,387,800",$318.18,$324.40,$317.30
10/16/2023,$321.15,"16,536,110",$318.64,$321.82,$315.52
10/13/2023,$314.69,"21,360,790",$323.53,$325.0502,$312.37
10/12/2023,$324.16,"20,530,520",$328.00,$330.54,$322.69
10/11/2023,$327.82,"22,036,300",$323.005,$328.835,$322.95
10/10/2023,$321.84,"19,037,970",$319.12,$324.66,$318.16
10/09/2023,$318.36,"22,503,660",$312.50,$320.33,$311.82
10/06/2023,$315.43,"21,803,860",$301.44,$316.31,$300.9148
10/05/2023,$304.79,"19,129,960",$304.625,$306.208,$299.50
10/04/2023,$305.58,"16,880,480",$298.725,$306.90,$298.50
10/03/2023,$300.94,"17,362,250",$304.26,$306.77,$299.64
10/02/2023,$306.82,"16,265,570",$302.74,$307.18,$301.63
09/29/2023,$300.21,"25,373,700",$307.38,$310.64,$299.36
09/28/2023,$303.96,"22,167,080",$298.935,$306.3299,$296.70
09/27/2023,$297.74,"36,429,840",$300.45,$301.2997,$286.79
09/26/2023,$298.96,"19,417,160",$297.66,$300.2999,$296.0101
09/25/2023,$300.83,"18,987,010",$295.64,$300.95,$293.70
09/22/2023,$299.08,"25,369,590",$299.30,$305.38,$298.27
09/21/2023,$295.73,"21,319,580",$295.70,$300.2566,$293.27
09/20/2023,$299.67,"19,379,520",$305.05,$308.06,$299.43
09/19/2023,$305.07,"15,931,620",$302.48,$306.17,$299.81
09/18/2023,$302.55,"14,234,160",$298.19,$303.60,$297.80
09/15/2023,$300.31,"28,131,140",$311.61,$312.00,$298.75
09/14/2023,$311.72,"19,343,100",$306.74,$312.87,$305.03
09/13/2023,$305.06,"13,210,920",$302.36,$307.18,$301.3206
09/12/2023,$301.66,"13,480,400",$306.33,$308.6599,$300.23
09/11/2023,$307.56,"19,489,330",$301.41,$309.04,$301.28
09/08/2023,$297.89,"17,572,200",$299.22,$305.25,$296.78
09/07/2023,$298.67,"33,748,740",$298.00,$307.0499,$292.22
09/06/2023,$299.17,"15,418,090",$301.71,$303.30,$295.66
09/05/2023,$300.15,"14,955,990",$297.02,$301.39,$295.51
09/01/2023,$296.38,"12,842,260",$299.37,$301.74,$294.47
08/31/2023,$295.89,"17,229,870",$295.80,$301.10,$295.66
08/30/2023,$295.10,"17,717,020",$297.17,$298.29,$293.43
08/29/2023,$297.99,"20,844,520",$288.585,$299.15,$288.18
08/28/2023,$290.26,"14,239,290",$288.00,$291.45,$285.80
08/25/2023,$285.50,"23,701,440",$286.13,$288.386,$276.03
