date,close,volume,open,high,low
11/20/2024,$145.89,"309,871,700",$147.41,$147.56,$142.73
11/19/2024,$147.01,"227,834,900",$141.32,$147.13,$140.99
11/18/2024,$140.15,"221,866,000",$139.50,$141.55,$137.15
11/15/2024,$141.98,"250,132,900",$144.87,$145.24,$140.08
11/14/2024,$146.76,"194,463,300",$147.64,$149.00,$145.55
11/13/2024,$146.27,"191,903,300",$149.07,$149.33,$145.90
11/12/2024,$148.29,"198,634,700",$146.78,$149.65,$146.01
11/11/2024,$145.26,"182,325,600",$148.68,$148.85,$143.57
11/08/2024,$147.63,"175,665,800",$148.77,$149.77,$146.26
11/07/2024,$148.88,"207,323,300",$146.39,$148.93,$146.17
11/06/2024,$145.61,"242,043,900",$142.96,$146.49,$141.96
11/05/2024,$139.91,"160,537,400",$137.45,$140.3701,$137.33
11/04/2024,$136.05,"187,528,200",$137.21,$138.96,$135.57
11/01/2024,$135.40,"207,127,800",$134.70,$137.31,$134.57
10/31/2024,$132.76,"270,039,600",$137.60,$137.61,$132.1106
10/30/2024,$139.335,"179,418,100",$139.54,$140.33,$136.81
10/29/2024,$141.25,"157,593,600",$140.285,$142.2598,$138.90
10/28/2024,$140.52,"173,586,700",$143.00,$143.14,$140.05
10/25/2024,$141.54,"205,122,100",$140.93,$144.13,$140.80
10/24/2024,$140.41,"172,354,900",$140.82,$141.35,$138.46
10/23/2024,$139.56,"285,930,000",$142.03,$142.43,$137.46
10/22/2024,$143.59,"226,311,600",$142.91,$144.42,$141.78
10/21/2024,$143.71,"264,554,500",$138.13,$143.71,$138.00
10/18/2024,$138.00,"176,090,200",$138.665,$138.90,$137.28
10/17/2024,$136.93,"306,435,900",$139.34,$140.89,$136.87
10/16/2024,$135.72,"264,879,700",$133.98,$136.62,$131.58
10/15/2024,$131.60,"377,831,000",$137.87,$138.57,$128.74
10/14/2024,$138.07,"232,347,700",$136.47,$139.60,$136.30
10/11/2024,$134.80,"170,209,500",$134.01,$135.78,$133.66
10/10/2024,$134.81,"242,311,300",$131.91,$135.00,$131.00
10/09/2024,$132.65,"246,191,600",$134.11,$134.52,$131.38
10/08/2024,$132.89,"285,722,500",$130.26,$133.48,$129.42
10/07/2024,$127.72,"346,250,200",$124.99,$130.64,$124.95
10/04/2024,$124.92,"244,465,600",$124.94,$125.04,$121.83
10/03/2024,$122.85,"277,118,000",$120.92,$124.36,$120.3401
10/02/2024,$118.85,"221,845,900",$116.44,$119.38,$115.14
10/01/2024,$117.00,"302,094,500",$121.765,$122.4351,$115.79
09/30/2024,$121.44,"227,053,700",$118.31,$121.50,$118.15
09/27/2024,$121.40,"271,009,200",$123.97,$124.03,$119.26
09/26/2024,$124.04,"302,582,900",$126.80,$127.665,$121.80
09/25/2024,$123.51,"284,692,900",$122.02,$124.94,$121.61
09/24/2024,$120.87,"354,966,800",$116.515,$121.80,$115.38
09/23/2024,$116.26,"206,228,500",$116.55,$116.99,$114.86
09/20/2024,$116.00,"382,462,400",$117.06,$118.6181,$115.3901
09/19/2024,$117.87,"293,506,400",$117.35,$119.66,$117.25
09/18/2024,$113.37,"310,318,900",$115.89,$117.70,$113.22
09/17/2024,$115.59,"231,925,900",$118.17,$118.80,$114.83
09/16/2024,$116.78,"248,772,300",$116.79,$118.18,$114.36
09/13/2024,$119.10,"238,358,300",$119.08,$119.955,$117.60
09/12/2024,$119.14,"367,100,500",$116.84,$120.79,$115.38
09/11/2024,$116.91,"441,422,400",$109.39,$117.19,$107.42
09/10/2024,$108.10,"268,283,700",$107.81,$109.40,$104.95
09/09/2024,$106.47,"273,912,000",$104.88,$106.55,$103.69
09/06/2024,$102.83,"413,638,100",$108.04,$108.15,$100.95
09/05/2024,$107.21,"306,850,700",$104.985,$109.65,$104.76
09/04/2024,$106.21,"372,470,300",$105.41,$113.27,$104.12
09/03/2024,$108.00,"477,155,100",$116.01,$116.21,$107.29
08/30/2024,$119.37,"333,751,600",$119.53,$121.75,$117.22
08/29/2024,$117.59,"453,023,300",$121.355,$124.43,$116.71
08/28/2024,$125.61,"448,101,100",$128.12,$128.33,$122.64
08/27/2024,$128.30,"303,134,600",$125.05,$129.20,$123.88
08/26/2024,$126.46,"331,964,700",$129.57,$131.26,$124.37
08/23/2024,$129.37,"323,230,300",$125.86,$129.60,$125.22
08/22/2024,$123.74,"376,189,100",$130.02,$130.75,$123.10
08/21/2024,$128.50,"257,883,600",$127.315,$129.35,$126.66
08/20/2024,$127.25,"300,087,400",$128.40,$129.88,$125.89
08/19/2024,$130.00,"318,333,600",$124.28,$130.00,$123.42
08/16/2024,$124.58,"302,589,900",$121.94,$125.00,$121.18
08/15/2024,$122.86,"318,086,700",$118.76,$123.24,$117.47
08/14/2024,$118.08,"339,246,400",$118.53,$118.60,$114.07
08/13/2024,$116.14,"312,646,700",$112.44,$116.23,$111.58
08/12/2024,$109.02,"325,559,900",$106.32,$111.07,$106.26
08/09/2024,$104.75,"290,844,200",$105.64,$106.60,$103.43
08/08/2024,$104.97,"391,910,000",$102.00,$105.50,$97.52
08/07/2024,$98.91,"411,440,400",$107.81,$108.80,$98.69
08/06/2024,$104.25,"409,012,100",$103.84,$107.71,$100.55
08/05/2024,$100.45,"552,842,400",$92.06,$103.41,$90.69
08/02/2024,$107.27,"482,027,500",$103.76,$108.72,$101.37
08/01/2024,$109.21,"523,462,300",$117.53,$120.16,$106.8104
07/31/2024,$117.02,"473,174,200",$112.90,$118.34,$110.88
07/30/2024,$103.73,"486,833,300",$111.52,$111.99,$102.54
07/29/2024,$111.59,"248,152,100",$113.69,$116.28,$111.30
07/26/2024,$113.06,"293,399,100",$116.19,$116.20,$111.58
07/25/2024,$112.28,"460,067,000",$113.04,$116.63,$106.30
07/24/2024,$114.25,"327,776,900",$119.17,$119.95,$113.44
07/23/2024,$122.59,"173,911,000",$122.78,$124.69,$122.10
07/22/2024,$123.54,"258,068,900",$120.35,$124.07,$119.86
07/19/2024,$117.93,"217,223,800",$120.35,$121.60,$117.37
07/18/2024,$121.09,"320,979,500",$121.85,$122.40,$116.56
07/17/2024,$117.99,"390,086,200",$121.35,$121.85,$116.72
07/16/2024,$126.36,"214,769,500",$128.44,$129.04,$124.58
07/15/2024,$128.44,"208,326,200",$130.56,$131.39,$127.18
07/12/2024,$129.24,"252,680,500",$128.26,$131.92,$127.22
07/11/2024,$127.40,"374,782,700",$135.75,$136.15,$127.05
07/10/2024,$134.91,"248,978,600",$134.03,$135.10,$132.42
07/09/2024,$131.38,"287,020,800",$130.35,$133.82,$128.65
07/08/2024,$128.20,"237,677,300",$127.49,$130.77,$127.04
07/05/2024,$125.83,"214,176,700",$127.38,$128.85,$125.68
07/03/2024,$128.28,"215,749,000",$121.66,$128.28,$121.36
07/02/2024,$122.67,"218,374,000",$121.13,$123.41,$121.03
07/01/2024,$124.30,"284,885,500",$123.47,$124.84,$118.83
06/28/2024,$123.54,"315,516,700",$124.58,$127.71,$122.75
06/27/2024,$123.99,"252,571,700",$124.10,$126.41,$122.92
06/26/2024,$126.40,"362,975,900",$126.13,$128.12,$122.60
06/25/2024,$126.09,"425,787,500",$121.20,$126.50,$119.32
06/24/2024,$118.11,"476,060,900",$123.24,$124.46,$118.04
06/21/2024,$126.57,"655,484,700",$127.12,$130.63,$124.30
06/20/2024,$130.78,"517,768,400",$139.80,$140.76,$129.52
06/18/2024,$135.58,"294,335,100",$131.14,$136.33,$130.69
06/17/2024,$130.98,"288,504,400",$132.99,$133.73,$129.58
